theTime,x,y,z,q1,q2,q3,score,(0.0,0, 0.0),(0.0,0, 0.0)
5.72,-6.353796,0,-19.49436,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.74,-6.254527,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.76,-6.254527,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.78,-6.036347,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.8,-5.963619,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.82,-5.745438,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.84,-5.599984,0,-19.20939,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.86,-5.527256,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.88,-5.163621,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.9,-5.090894,0,-19.20939,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.92,-4.654531,0,-19.20939,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.94,-4.581804,0,-19.20938,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.96,-4.163567,0,-18.32844,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
5.98,-3.940519,0,-18.32844,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6,-3.371641,0,-17.09106,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.02,-3.112833,0,-16.44348,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.04,-2.429149,0,-14.73259,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.06,-2.240671,0,-13.63782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.08,-1.731595,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.1,-1.572054,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.12,-1.076228,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.14,-0.7239803,0,-9.55999,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.16,-0.7239803,0,-9.55999,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.18,-0.3587434,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.2,-0.1793704,0,-10.00091,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.22,0.1731613,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.24,0.5150222,0,-12.09069,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.26,0.6694566,0,-13.26094,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.28,0.9795871,0,-14.37387,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
6.3,1.11554,0,-15.43323,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
