theTime,x,y,z,q1,q2,q3,score,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.2,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.22,46.34151,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.24,28.25395,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.26,19.75901,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.28,15.55547,0,50.99593,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.3,12.13668,0,34.11956,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.32,7.947007,0,13.22011,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.34,5.46449,0,0.6440811,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.36,4.057976,0,-6.236393,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.38,3.470333,0,-9.111004,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.4,2.857136,0,-11.68737,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.42,1.960787,0,-16.1119,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.44,1.391942,0,-18.91994,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.46,1.29032,0,-19.77554,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.48,1.218634,0,-19.77554,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.5,1.218634,0,-19.77554,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.52,1.218634,0,-19.77554,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.54,1.218634,0,-19.77554,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.56,1.498122,0,-18.02621,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.58,2.959629,0,-10.00091,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.6,3.507117,0,-7.230927,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.62,5.027326,0,0.6440735,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.64,10.07409,0,21.74419,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.66,14.23424,0,39.13744,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.68,20.91954,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.7,35.08189,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.72,49.36099,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.74,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
1.76,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
